Customer Name,Age,Gender,Location,Choice of Beer,Prices
Customer 1,21,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 2,21,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 3,23,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 4,21,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 5,34,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 6,26,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 7,31,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 8,21,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 9,23,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 10,22,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 11,28,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 12,25,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 13,22,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 14,23,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 15,21,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 16,24,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 17,29,Female,Near Shop A,Budweiser Can (Pack of 6),600
Customer 18,28,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 19,26,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 20,31,Male,Near Shop A,Budweiser Can (Pack of 6),600
Customer 21,38,Female,Near Shop A,Budweiser Bottle (Pack of 6),660
Customer 22,39,Male,Near Shop A,Budweiser Bottle (Pack of 6),660
Customer 23,62,Female,Near Shop A,Budweiser Bottle (Pack of 6),660
Customer 24,49,Male,Near Shop A,Budweiser Bottle (Pack of 6),660
Customer 25,62,Male,Near Shop A,Budweiser Bottle (Pack of 6),660
Customer 26,48,Male,Near Shop A,Budweiser Bottle (Pack of 6),660
Customer 27,26,Female,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 28,21,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 29,23,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 30,33,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 31,35,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 32,32,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 33,24,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 34,32,Male,Near Shop A,Budweiser Can (Pack of 12),1100
Customer 35,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 36,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 37,24,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 38,23,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 39,30,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 40,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 41,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 42,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 43,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 44,32,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 45,32,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 46,35,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 47,24,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 48,26,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 49,25,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 50,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 51,23,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 52,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 53,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 54,30,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 55,26,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 56,26,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 57,23,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 58,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 59,23,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 60,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 61,31,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 62,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 63,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 64,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 65,30,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 66,29,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 67,31,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 68,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 69,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 70,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 71,30,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 72,30,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 73,31,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 74,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 75,31,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 76,28,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 77,29,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 78,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 79,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 80,35,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 81,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 82,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 83,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 84,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 85,35,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 86,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 87,30,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 88,32,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 89,24,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 90,25,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 91,29,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 92,28,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 93,25,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 94,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 95,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 96,25,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 97,27,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 98,23,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 99,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 100,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 101,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 102,29,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 103,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 104,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 105,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 106,27,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 107,24,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 108,32,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 109,22,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 110,26,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 111,21,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 112,31,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 113,26,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 114,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 115,22,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 116,31,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 117,33,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 118,30,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 119,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 120,25,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 121,30,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 122,22,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 123,27,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 124,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 125,31,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 126,32,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 127,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 128,35,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 129,33,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 130,26,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 131,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 132,23,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 133,27,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 134,22,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 135,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 136,26,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 137,26,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 138,28,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 139,21,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 140,32,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 141,28,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 142,32,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 143,27,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 144,34,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 145,32,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 146,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 147,21,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 148,33,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 149,25,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 150,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 151,34,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 152,32,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 153,31,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 154,22,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 155,23,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 156,24,Male,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 157,25,Female,Near Shop A,Stella Artois Can (Pack of 6),660
Customer 158,51,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 159,38,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 160,39,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 161,44,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 162,36,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 163,63,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 164,49,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 165,61,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 166,40,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 167,38,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 168,52,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 169,44,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 170,49,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 171,56,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 172,56,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 173,44,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 174,56,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 175,46,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 176,36,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 177,44,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 178,46,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 179,64,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 180,65,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 181,48,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 182,57,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 183,50,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 184,63,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 185,40,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 186,41,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 187,61,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 188,54,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 189,50,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 190,47,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 191,44,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 192,45,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 193,41,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 194,62,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 195,55,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 196,39,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 197,53,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 198,36,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
